Produit;Désignation;Vendeur;Raison sociale du vendeur;Expéditeur;Pays;Raison sociale de l'expéditeur;Identifiant appro;SGR;Ligne;Traitée;Rupture minimale;Nombre de jours couverture minimale;Rupture usine;Nombre de jours couverture usine;Rupture usine et parc;Nombre de jours couverture usine + parc;Rupture usine sans encours transport;Nombre de jours couverture sans encours transport;Stock Sens2;Stock départ Minimale;Stock départ usine;Stock départ usine et parc;SGR et ligne;Date fin série;Date transfert série;Date dernier RI;Dotation atelier;Sécu appro;Sécu LUO;Sécu NLIJ;Sécu douane;Unité;Sécu transport amont;Unité;Sécu transport aval;Unité;Sécu transport;Unité;CMJ JL Hebdo;CMJ JL Périodique;Quantité EO;Quantité EF;Quantité XC;Quantité RP;Quantité XP;Quantité DT;Quantité AT;Quantité EP;Quantité AS;Retard en EF/XP;Retard en RQ;Avance en RQ;Commentaire;Date Commentaire;Auteur du commentaire;Date du dernier calcul de couverture
9640621580;SUPPORT PALIER G;A0069B  01;ANDERTON CASTINGS;A0069B  01;France;ANDERTON CASTINGS;MORVAN GILLES;CJ6;1;Non traitée;04/11/15 08:46;11,5;;0;;0;;0;49;-491;49;0;CJ6-1;;08/09/2003 02:00:00;;540;200;77;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;8;5;900;0;0;0;0;0;0;0;0;900;0;0;;;;23/10/2015 16:30:45
9640968080;DOUB.CAPOT D2;78470T  01;VOESTALPINE POLYNORM B.V.;78470T  01;Pays-Bas;VOESTALPINE POLYNORM B.V.;MORVAN GILLES;CJ2;1;Non traitée;03/11/15 14:36;10,5;;0;;0;;0;28;-81;9;0;CJ2-1;;30/06/2003 02:00:00;;90;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;0;8;220;0;0;0;0;0;0;0;0;220;0;0;;;;23/10/2015 16:30:59
9643774180;DETECT EAU;47621L  01;CEBI FRANCE;13736E  17;France;GEFCO FRANCE SAS;DEME CHRISTINE;CJ6;1;Non traitée;03/11/15 15:11;10,5;;0;;0;;0;238;11;236;0;CJ6-1;;30/09/2002 02:00:00;;225;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;600;M;8;8;225;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:04:01
9644333380;SUP BUT TALO ARG;78001H  S0;PEUGEOT CITROEN AUTOMOBILE SA;78001H  CA;France;PEUGEOT CITROEN AUTOMOBILE SA;DEME CHRISTINE;CJ2;1;Non traitée;03/11/15 14:58;10,5;;0;;0;09/11/2015 13:26:36;16,5;1704;354;1369;0;CJ2-1;;30/06/2003 02:00:00;;1015;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;300;M;364;365;3000;0;0;0;0;0;0;0;0;2000;0;0;;;;23/10/2015 16:31:03
9644996980;PEAU COFFRE D23;78470T  01;VOESTALPINE POLYNORM B.V.;78470T  01;Pays-Bas;VOESTALPINE POLYNORM B.V.;MORVAN GILLES;CJ2;1;Non traitée;03/11/15 14:36;10,5;;0;;0;;0;-1;-36;-1;0;CJ2-1;;30/06/2003 02:00:00;;35;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;0;2;92;0;0;0;0;0;0;0;0;92;0;0;;;;23/10/2015 16:05:50
9646825680;ECROU KP M10X150;34894C  01;LISI AUTOMOTIVE FORMER;34894C  01;France;LISI AUTOMOTIVE FORMER;MORVAN GILLES;CJ2;1;Non traitée;03/11/15 11:56;10,5;;0;;0;;0;33888;1620;31020;0;CJ2-1;;02/05/2005 02:00:00;;29400;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;660;M;2671;2680;14400;0;14400;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:05:57
9647021680;BIELLETTE ANTICO;11587U  01;TRELLEBORG MODYN;98078F  01;France;MAGASINAGE GESTION LOGISTIQUE;GAUTHER SYLVIE;CJ6;1;Non traitée;04/11/15 13:23;11,5;10/11/2015 12:33:51;17,5;;0;10/11/2015 12:33:51;17,5;48;19;45;0;CJ6-1;;29/09/2003 02:00:00;;26;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;240;M;12;11;130;0;0;0;0;0;0;0;0;130;0;0;;;;23/10/2015 16:31:00
9648042080;PONTET FIX EXT;99381X  01;SUD OUEST EMBOUTISSAGE;99381X  01;France;SUD OUEST EMBOUTISSAGE;MORVAN GILLES;CJ6;1;Non traitée;17/11/15 11:39;24,5;18/11/2015 10:45:43;25,5;;0;12/11/2015 07:04:03;19,5;2176;1630;1954;0;CJ6-1;;28/02/2005 01:00:00;;324;0;20;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;364;365;1620;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:05:41
9649311580;VIS FIX CONVERTI;63629L  12;AGRATI GIE;63095F  01;France;AGRATI VIEUX-CONDE SAS;HENRIO DOMINIQUE;CJ6;1;Non traitée;12/11/15 11:56;19,5;;0;;0;05/11/2015 13:51:37;12,5;2543;1211;2111;0;CJ6-1;;09/01/2003 01:00:00;;900;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;540;M;806;662;2700;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:02:17
9651817180;MICRO;79653D  01;PEIKER FRANCE SAS;A000NT  01;Allemagne;PEIKER ACUSTIC GMBH & CO. KG;GAUTIER CHRISTOPHE;CJ6;1;Non traitée;03/11/15 07:00;10,5;;0;;0;;0;161;-143;157;0;CJ6-1;02/11/2015;16/05/2005 02:00:00;;300;0;39;0;N/A;N/A;N/A;N/A;N/A;N/A;720;M;293;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:06:30
9654819580;H-P HIFI;27373C  01;PREMIUM SOUND SOLUTIONS BELGIUM NV;27373C  01;Belgique;PREMIUM SOUND SOLUTIONS BELGIUM NV;MORVAN GILLES;CJ6;1;Non traitée;03/11/15 07:19;10,5;;0;;0;;0;719;-205;695;0;CJ6-1;;04/06/2007 02:00:00;;900;0;77;0;N/A;N/A;N/A;N/A;N/A;N/A;600;M;26;29;300;0;0;0;0;0;0;0;0;0;0;0;;;;23/10/2015 16:05:39
