Produit;quai;SO;Désignation;Vendeur;Raison Sociale;Expéditeur;Raison Sociale;CU;DTS;DFS;% Actif;St FP;ID;Division;Nom site;Statut FP;Périmètre appro;ID appro
7903233042;JM5;A;ECROU M6X100;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;FONTANA FASTENERS FRANCE SA;CJ;01/01/1996 01:00;;100.00%;E;123053;;RENNES;Validé exécution;M5I;C175543
7903233043;JM5;A;ECROU KP;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;ALCOA FIXATIONS SIMMONDS;CJ;01/01/1996 01:00;;100.00%;E;123054;;RENNES;Validé exécution;M1K;A174284
7903233044;JM5;A;ECROU M10*150;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;ALCOA FIXATIONS SIMMONDS;CJ;10/10/1996 02:00;;100.00%;E;123055;;RENNES;Validé exécution;M1K;A174284
7903233049;JM5;A;ECROU K M10;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;ALCOA FIXATIONS SIMMONDS;CJ;18/10/1996 02:00;;100.00%;E;123056;;RENNES;Validé exécution;M1K;A174284
7903233064;JM5;A;ECROU H EMB NET;68891F  01;FONTANA FASTENERS FRANCE SA;68891F  01;FONTANA FASTENERS FRANCE SA;CJ;22/05/2000 02:00;;100.00%;E;123057;;RENNES;Validé exécution;M5I;C175543
7903234092;JM5;A;ECROU FREIN;A0063I  01;OPTIMAS OE SOLUTIONS SAS;A0063I  01;OPTIMAS OE SOLUTIONS SAS;CJ;01/01/1996 01:00;;100.00%;E;123058;;RENNES;Validé exécution;M1H;C002829
7903234102;JM5;A;ECROU H M6X100;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;ALCOA FIXATIONS SIMMONDS;CJ;22/03/2001 01:00;;100.00%;E;123059;;RENNES;Validé exécution;M1K;A174284
7903234104;JM5;A;ECR HEMB M10X150;18727E  04;ALCOA FIXATIONS SIMMONDS;18727E  04;ALCOA FIXATIONS SIMMONDS;CJ;10/04/2000 02:00;;100.00%;E;123060;;RENNES;Validé exécution;M1K;A174284
7903301005;JM5;A;VIS;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;24/08/2009 02:00;;100.00%;E;123061;;RENNES;Validé exécution;M5D;C003082
7903301101;JM5;A;VS HRDLM6X100L16;34894C  01;LISI AUTOMOTIVE FORMER;34894C  18;LISI AUTOMOTIVE FORMER;CJ;01/01/1996 01:00;;100.00%;E;123062;;RENNES;Validé exécution;M3V;C002704
7903301108;JM5;A;VIS M6X100 L50;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;26/02/2009 01:00;;100.00%;E;123063;;RENNES;Validé exécution;M5D;C003082
7903301112;JM5;A;ML VIS M8X125L25;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;01/01/1996 01:00;;100.00%;E;123064;;RENNES;Validé exécution;M5D;C003082
7903301113;JM5;A;VIS M8X125 L30;51562V  01;NEDSCHROEF FASTENERS SAS;51562V  04;NEDSCHROEF FASTENERS SAS;CJ;01/01/1996 01:00;;100.00%;E;123065;;RENNES;Validé exécution;MSB;A170852
7903301119;JM5;A;VIS K H RCN M8X1;63629L  12;AGRATI GIE;63095F  01;AGRATI VIEUX-CONDE SAS;CJ;05/02/2007 01:00;;100.00%;E;123066;;RENNES;Validé exécution;M5D;C003082
